Country,State,Year,Types Of Coal,Coal Consuming Sectors,Coal Consumed (UOM:t(Tonnes))
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2012",RAW COAL,PULP & PAPER,0.008
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2012",RAW COAL,POWER (UTILITY),0.07
India,Chhattisgarh,"Financial Year (Apr - Mar), 2015",WASHED COAL,METALLURGICAL USE- COKERIES,0.01
India,Haryana,"Financial Year (Apr - Mar), 2020",RAW COAL,OTHER,0.001
India,Gujarat,"Financial Year (Apr - Mar), 2019",LIGNITE,CEMENT,0.286
India,Delhi,"Financial Year (Apr - Mar), 2014",RAW COAL,PULP & PAPER,0.084
India,Gujarat,"Financial Year (Apr - Mar), 2018",LIGNITE,BRICKS,0.371
India,Chhattisgarh,"Financial Year (Apr - Mar), 2018",RAW COAL,PULP & PAPER,0.017
India,Chhattisgarh,"Financial Year (Apr - Mar), 2015",RAW COAL,METALLURGICAL USE- DIRECT FEED,0.102
India,Jharkhand,"Financial Year (Apr - Mar), 2011",MIDDLINGS,POWER (CAPTIVE),0.11
India,Assam,"Financial Year (Apr - Mar), 2012",RAW COAL,CEMENT,0.025
India,Chhattisgarh,"Financial Year (Apr - Mar), 2016",RAW COAL,SPONGE IRON,3.251
India,Chhattisgarh,"Financial Year (Apr - Mar), 2018",RAW COAL,POWER (CAPTIVE),5.859
India,Haryana,"Financial Year (Apr - Mar), 2015",RAW COAL,OTHER,0.043
India,Chhattisgarh,"Financial Year (Apr - Mar), 2019",RAW COAL,COLLIERY OWN - CONSUMPTION,0.005
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2019",RAW COAL,OTHER,0.693
India,Haryana,"Financial Year (Apr - Mar), 2014",RAW COAL,POWER (UTILITY),13.293
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2019",WASHED COAL,OTHER,0.336
India,Gujarat,"Financial Year (Apr - Mar), 2016",RAW COAL,POWER (UTILITY),16.166
India,Bihar,"Financial Year (Apr - Mar), 2012",RAW COAL,CEMENT,0.004
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2013",WASHED COAL,METALLURGICAL USE- COKERIES,0.314607674
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2011",RAW COAL,OTHER,1.737602386
India,Delhi,"Financial Year (Apr - Mar), 2015",RAW COAL,POWER (CAPTIVE),0.039
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2020",WASHED COAL,POWER (CAPTIVE),0.289
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2014",RAW COAL,CHEMICAL,0.12584307
India,Gujarat,"Financial Year (Apr - Mar), 2014",RAW COAL,PULP & PAPER,0.005
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2015",RAW COAL,CHEMICAL,0.06
India,Gujarat,"Financial Year (Apr - Mar), 2017",RAW COAL,PULP & PAPER,0.002
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2011",WASHED COAL,POWER (CAPTIVE),0.023595576
India,Gujarat,"Financial Year (Apr - Mar), 2014",RAW COAL,POWER (UTILITY),14.525
India,Delhi,"Financial Year (Apr - Mar), 2017",WASHED COAL,POWER (UTILITY),1.139
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2016",RAW COAL,PULP & PAPER,0.072
India,Gujarat,"Financial Year (Apr - Mar), 2017",LIGNITE,TEXTILES & RAYONS,1.292
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2016",RAW COAL,BRICKS,0.005
India,Chhattisgarh,"Financial Year (Apr - Mar), 2014",RAW COAL,STEEL (BOILERS),0.375
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2017",RAW COAL,BRICKS,0.002
India,Gujarat,"Financial Year (Apr - Mar), 2015",LIGNITE,CEMENT,0.318
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2014",RAW COAL,POWER (CAPTIVE),1.960852832
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2018",RAW COAL,CEMENT,0.026
India,Gujarat,"Financial Year (Apr - Mar), 2015",RAW COAL,TEXTILES & RAYONS,0.026
India,Gujarat,"Financial Year (Apr - Mar), 2017",LIGNITE,FERTILISERS,0
India,Gujarat,"Financial Year (Apr - Mar), 2016",RAW COAL,OTHER,0.164
India,Bihar,"Financial Year (Apr - Mar), 2012",RAW COAL,OTHER,1
India,Chhattisgarh,"Financial Year (Apr - Mar), 2011",RAW COAL,PULP & PAPER,0.023
India,Gujarat,"Financial Year (Apr - Mar), 2018",LIGNITE,POWER (CAPTIVE),7.811
India,Delhi,"Financial Year (Apr - Mar), 2018",MIDDLINGS,POWER (UTILITY),0.039
India,Gujarat,"Financial Year (Apr - Mar), 2017",RAW COAL,CHEMICAL,0.03
India,Haryana,"Financial Year (Apr - Mar), 2015",WASHED COAL,POWER (UTILITY),0.039
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2014",RAW COAL,OTHER,1.921526873
India,Chhattisgarh,"Financial Year (Apr - Mar), 2016",WASHED COAL,METALLURGICAL USE- COKERIES,0.736
India,Jharkhand,"Financial Year (Apr - Mar), 2011",RAW COAL,BRICKS,0.159
India,Gujarat,"Financial Year (Apr - Mar), 2019",RAW COAL,POWER (CAPTIVE),0.47
India,Assam,"Financial Year (Apr - Mar), 2018",RAW COAL,OTHER,0.126
India,Gujarat,"Financial Year (Apr - Mar), 2017",LIGNITE,OTHER,1.051
India,Bihar,"Financial Year (Apr - Mar), 2015",RAW COAL,OTHER,0.661
India,Gujarat,"Financial Year (Apr - Mar), 2015",LIGNITE,FERTILISERS,0.005
India,Chhattisgarh,"Financial Year (Apr - Mar), 2019",WASHED COAL,OTHER,0.167
India,Chhattisgarh,"Financial Year (Apr - Mar), 2015",MIDDLINGS,POWER (CAPTIVE),4.066
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2011",RAW COAL,SPONGE IRON,0.496717117
India,Chhattisgarh,"Financial Year (Apr - Mar), 2012",MIDDLINGS,POWER (CAPTIVE),3.574
India,Haryana,"Financial Year (Apr - Mar), 2015",MIDDLINGS,POWER (UTILITY),0.204
India,Chhattisgarh,"Financial Year (Apr - Mar), 2012",RAW COAL,CEMENT,0.948
India,Gujarat,"Financial Year (Apr - Mar), 2014",RAW COAL,TEXTILES & RAYONS,0.028
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2011",WASHED COAL,BRICKS,0.001815044
India,Gujarat,"Financial Year (Apr - Mar), 2019",LIGNITE,BRICKS,0.623
India,Chhattisgarh,"Financial Year (Apr - Mar), 2020",WASHED COAL,METALLURGICAL USE- DIRECT FEED,0.118
India,Gujarat,"Financial Year (Apr - Mar), 2017",RAW COAL,FERTILISERS,0.502
India,Chhattisgarh,"Financial Year (Apr - Mar), 2013",RAW COAL,PULP & PAPER,0.022
India,Chhattisgarh,"Financial Year (Apr - Mar), 2011",WASHED COAL,SPONGE IRON,1.923
India,Odisha,"Financial Year (Apr - Mar), 2013",RAW COAL,POWER (UTILITY),25.659
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2015",RAW COAL,METALLURGICAL USE- COKERIES,0.034
India,Rajasthan,"Financial Year (Apr - Mar), 2011",RAW COAL,POWER (UTILITY),12.654
India,Kerala,"Financial Year (Apr - Mar), 2013",RAW COAL,CEMENT,0.045
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2017",RAW COAL,SPONGE IRON,0.175
India,Tamil Nadu,"Financial Year (Apr - Mar), 2018",LIGNITE,CEMENT,0.227
India,Odisha,"Financial Year (Apr - Mar), 2015",MIDDLINGS,POWER (CAPTIVE),0.259
India,West Bengal,"Financial Year (Apr - Mar), 2018",RAW COAL,BRICKS,0.01
India,Tamil Nadu,"Financial Year (Apr - Mar), 2011",LIGNITE,PULP & PAPER,0.045
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2011",RAW COAL,TEXTILES & RAYONS,0.059
India,Karnataka,"Financial Year (Apr - Mar), 2016",RAW COAL,SPONGE IRON,0.023
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2012",RAW COAL,PULP & PAPER,0.004
India,Jharkhand,"Financial Year (Apr - Mar), 2016",RAW COAL,COLLIERY STAFF,0.002
India,Kerala,"Financial Year (Apr - Mar), 2016",RAW COAL,PULP & PAPER,0.046
India,Maharashtra,"Financial Year (Apr - Mar), 2017",RAW COAL,POWER (CAPTIVE),0.206
India,West Bengal,"Financial Year (Apr - Mar), 2017",WASHED COAL,POWER (UTILITY),0.744
India,Maharashtra,"Financial Year (Apr - Mar), 2020",RAW COAL,OTHER,4.2
India,Odisha,"Financial Year (Apr - Mar), 2020",RAW COAL,POWER (CAPTIVE),58.744
India,Karnataka,"Financial Year (Apr - Mar), 2018",RAW COAL,SPONGE IRON,0.014
India,Jharkhand,"Financial Year (Apr - Mar), 2019",RAW COAL,OTHER,10.115
India,Rajasthan,"Financial Year (Apr - Mar), 2019",RAW COAL,FERTILISERS,0.25
India,Telangana,"Financial Year (Apr - Mar), 2016",RAW COAL,BRICKS,0.008
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2017",RAW COAL,PULP & PAPER,0.118
India,Rajasthan,"Financial Year (Apr - Mar), 2016",WASHED COAL,POWER (CAPTIVE),5.479
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2012",RAW COAL,POWER (UTILITY),48.052
India,Karnataka,"Financial Year (Apr - Mar), 2012",RAW COAL,POWER (CAPTIVE),3.294
India,Jharkhand,"Financial Year (Apr - Mar), 2018",MIDDLINGS,POWER (CAPTIVE),1.391
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2018",RAW COAL,POWER (UTILITY),73.654
India,Odisha,"Financial Year (Apr - Mar), 2012",RAW COAL,POWER (UTILITY),21.761
India,West Bengal,"Financial Year (Apr - Mar), 2020",WASHED COAL,METALLURGICAL USE- DIRECT FEED,0.169
India,West Bengal,"Financial Year (Apr - Mar), 2017",RAW COAL,METALLURGICAL USE- COKERIES,0.02
India,Jharkhand,"Financial Year (Apr - Mar), 2012",MIDDLINGS,POWER (CAPTIVE),3.043
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2011",RAW COAL,CHEMICAL,0.01
India,Jharkhand,"Financial Year (Apr - Mar), 2015",MIDDLINGS,POWER (UTILITY),1.935
India,Odisha,"Financial Year (Apr - Mar), 2012",RAW COAL,CEMENT,0.233
India,Rajasthan,"Financial Year (Apr - Mar), 2014",LIGNITE,TEXTILES & RAYONS,0.065
India,Ladakh,"Financial Year (Apr - Mar), 2015",RAW COAL,BRICKS,0
India,Jharkhand,"Financial Year (Apr - Mar), 2018",MIDDLINGS,STEEL (BOILERS),0.389
India,West Bengal,"Financial Year (Apr - Mar), 2011",RAW COAL,OTHER,1.816
India,Tamil Nadu,"Financial Year (Apr - Mar), 2012",LIGNITE,OTHER,0.037
India,Maharashtra,"Financial Year (Apr - Mar), 2019",RAW COAL,TEXTILES & RAYONS,0.08
India,Jharkhand,"Financial Year (Apr - Mar), 2019",RAW COAL,CEMENT,0.01
India,Tamil Nadu,"Financial Year (Apr - Mar), 2018",LIGNITE,CHEMICAL,0
India,Odisha,"Financial Year (Apr - Mar), 2019",RAW COAL,POWER (UTILITY),31.013
India,Jharkhand,"Financial Year (Apr - Mar), 2015",RAW COAL,CHEMICAL,0.005
India,Tamil Nadu,"Financial Year (Apr - Mar), 2017",LIGNITE,FERTILISERS,0
India,West Bengal,"Financial Year (Apr - Mar), 2018",RAW COAL,COLLIERY OWN - CONSUMPTION,0.191
India,Maharashtra,"Financial Year (Apr - Mar), 2016",RAW COAL,OTHER,4.956
India,Telangana,"Financial Year (Apr - Mar), 2017",RAW COAL,PULP & PAPER,0.533
India,Maharashtra,"Financial Year (Apr - Mar), 2018",RAW COAL,COLLIERY OWN - CONSUMPTION,0.004
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2017",WASHED COAL,POWER (UTILITY),7.721
India,Odisha,"Financial Year (Apr - Mar), 2017",RAW COAL,COLLIERY OWN - CONSUMPTION,0.005
India,Jharkhand,"Financial Year (Apr - Mar), 2012",RAW COAL,CHEMICAL,0.005
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2013",RAW COAL,METALLURGICAL USE- COKERIES,0.036
India,West Bengal,"Financial Year (Apr - Mar), 2020",MIDDLINGS,POWER (CAPTIVE),0.604
India,Tamil Nadu,"Financial Year (Apr - Mar), 2017",RAW COAL,POWER (CAPTIVE),0.039
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2017",MIDDLINGS,POWER (UTILITY),0.07
India,Punjab,"Financial Year (Apr - Mar), 2018",RAW COAL,OTHER,0.04
India,Ladakh,"Financial Year (Apr - Mar), 2015",RAW COAL,PULP & PAPER,0
India,Jharkhand,"Financial Year (Apr - Mar), 2015",WASHED COAL,OTHER,0.001
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2017",RAW COAL,CHEMICAL,0.03
India,Punjab,"Financial Year (Apr - Mar), 2012",RAW COAL,POWER (CAPTIVE),0.118
India,Tamil Nadu,"Financial Year (Apr - Mar), 2013",LIGNITE,TEXTILES & RAYONS,0.003
India,Karnataka,"Financial Year (Apr - Mar), 2014",RAW COAL,CHEMICAL,0.007
India,West Bengal,"Financial Year (Apr - Mar), 2019",MIDDLINGS,OTHER,0.141
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2018",RAW COAL,OTHER,3.832
India,Maharashtra,"Financial Year (Apr - Mar), 2018",RAW COAL,POWER (UTILITY),56.36
India,Rajasthan,"Financial Year (Apr - Mar), 2018",LIGNITE,FERTILISERS,0
India,Telangana,"Financial Year (Apr - Mar), 2019",RAW COAL,CEMENT,1.707
India,Telangana,"Financial Year (Apr - Mar), 2014",WASHED COAL,POWER (CAPTIVE),0.165103831
India,Odisha,"Financial Year (Apr - Mar), 2014",RAW COAL,SPONGE IRON,2.688
India,West Bengal,"Financial Year (Apr - Mar), 2015",RAW COAL,OTHER,2.049
India,Rajasthan,"Financial Year (Apr - Mar), 2017",RAW COAL,OTHER BASIC-METAL (ALUMINIUM ETC),0.134
India,Tamil Nadu,"Financial Year (Apr - Mar), 2014",LIGNITE,BRICKS,0.01
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2014",WASHED COAL,CEMENT,0.109
India,Telangana,"Financial Year (Apr - Mar), 2020",RAW COAL,OTHER,1.762
India,Ladakh,"Financial Year (Apr - Mar), 2019",RAW COAL,OTHER,0
India,Karnataka,"Financial Year (Apr - Mar), 2013",RAW COAL,POWER (CAPTIVE),3.643
India,West Bengal,"Financial Year (Apr - Mar), 2016",MIDDLINGS,STEEL (BOILERS),0.324
India,West Bengal,"Financial Year (Apr - Mar), 2015",MIDDLINGS,POWER (CAPTIVE),0.552
India,West Bengal,"Financial Year (Apr - Mar), 2014",MIDDLINGS,SPONGE IRON,0.026
India,Jharkhand,"Financial Year (Apr - Mar), 2012",RAW COAL,COLLIERY OWN - CONSUMPTION,0.02
India,Rajasthan,"Financial Year (Apr - Mar), 2015",RAW COAL,CEMENT,0.603
India,Meghalaya,"Financial Year (Apr - Mar), 2020",RAW COAL,POWER (CAPTIVE),0.011
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2012",RAW COAL,SPONGE IRON,0.093
India,Telangana,"Financial Year (Apr - Mar), 2013",RAW COAL,PULP & PAPER,0.341267249
India,Rajasthan,"Financial Year (Apr - Mar), 2011",RAW COAL,CHEMICAL,0.014
India,West Bengal,"Financial Year (Apr - Mar), 2017",RAW COAL,OTHER,2.176
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2013",RAW COAL,POWER (CAPTIVE),2.487
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2019",MIDDLINGS,POWER (UTILITY),0.037
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2016",RAW COAL,METALLURGICAL USE- DIRECT FEED,0.154
India,Rajasthan,"Financial Year (Apr - Mar), 2013",RAW COAL,OTHER,0.05
India,Tamil Nadu,"Financial Year (Apr - Mar), 2011",RAW COAL,POWER (UTILITY),12.695
India,Rajasthan,"Financial Year (Apr - Mar), 2012",RAW COAL,CEMENT,0.799
India,Uttarakhand,"Financial Year (Apr - Mar), 2019",RAW COAL,OTHER,3.042
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2014",WASHED COAL,POWER (UTILITY),0.218
India,Meghalaya,"Financial Year (Apr - Mar), 2019",RAW COAL,OTHER,0.019
India,Telangana,"Financial Year (Apr - Mar), 2011",WASHED COAL,SPONGE IRON,0.001974926
India,Karnataka,"Financial Year (Apr - Mar), 2018",RAW COAL,CEMENT,0.9
India,Rajasthan,"Financial Year (Apr - Mar), 2018",RAW COAL,OTHER,0.016
India,Tamil Nadu,"Financial Year (Apr - Mar), 2020",RAW COAL,CEMENT,0.089
India,Meghalaya,"Financial Year (Apr - Mar), 2011",RAW COAL,CEMENT,0.04
India,Telangana,"Financial Year (Apr - Mar), 2012",RAW COAL,TEXTILES & RAYONS,0.009874631
India,Odisha,"Financial Year (Apr - Mar), 2013",RAW COAL,POWER (CAPTIVE),14.198
India,Jharkhand,"Financial Year (Apr - Mar), 2020",MIDDLINGS,POWER (CAPTIVE),2.647
India,Karnataka,"Financial Year (Apr - Mar), 2016",RAW COAL,CEMENT,1.475
India,Maharashtra,"Financial Year (Apr - Mar), 2012",RAW COAL,SPONGE IRON,0.855
India,Karnataka,"Financial Year (Apr - Mar), 2017",RAW COAL,POWER (CAPTIVE),0.604
India,Jharkhand,"Financial Year (Apr - Mar), 2013",RAW COAL,BRICKS,0.008
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2019",RAW COAL,OTHER,2.228
India,Karnataka,"Financial Year (Apr - Mar), 2013",RAW COAL,TEXTILES & RAYONS,0.15
India,Jharkhand,"Financial Year (Apr - Mar), 2012",RAW COAL,METALLURGICAL USE- DIRECT FEED,0.221
India,Jharkhand,"Financial Year (Apr - Mar), 2020",RAW COAL,STEEL (BOILERS),0.234
India,Maharashtra,"Financial Year (Apr - Mar), 2014",RAW COAL,CHEMICAL,0.025
India,West Bengal,"Financial Year (Apr - Mar), 2019",RAW COAL,TEXTILES & RAYONS,0.002
India,Telangana,"Financial Year (Apr - Mar), 2016",RAW COAL,OTHER BASIC-METAL (ALUMINIUM ETC),0.069
India,Maharashtra,"Financial Year (Apr - Mar), 2018",RAW COAL,POWER (CAPTIVE),0.727
India,Jharkhand,"Financial Year (Apr - Mar), 2015",MIDDLINGS,POWER (CAPTIVE),1.219
India,West Bengal,"Financial Year (Apr - Mar), 2017",RAW COAL,COLLIERY OWN - CONSUMPTION,0.204
India,Tamil Nadu,"Financial Year (Apr - Mar), 2019",RAW COAL,POWER (UTILITY),24.167
India,Ladakh,"Financial Year (Apr - Mar), 2017",RAW COAL,CEMENT,0.000170883
India,Odisha,"Financial Year (Apr - Mar), 2020",RAW COAL,FERTILISERS,0.02
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2011",RAW COAL,CEMENT,0.169
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2015",WASHED COAL,POWER (UTILITY),0.244
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2014",MIDDLINGS,POWER (UTILITY),0.089
India,Jharkhand,"Financial Year (Apr - Mar), 2013",MIDDLINGS,POWER (CAPTIVE),1.244
India,Rajasthan,"Financial Year (Apr - Mar), 2015",WASHED COAL,POWER (UTILITY),0.031
India,West Bengal,"Financial Year (Apr - Mar), 2015",RAW COAL,CEMENT,0.018
India,Telangana,"Financial Year (Apr - Mar), 2018",RAW COAL,CEMENT,1.443
India,Tamil Nadu,"Financial Year (Apr - Mar), 2015",LIGNITE,POWER (UTILITY),24.494
India,Rajasthan,"Financial Year (Apr - Mar), 2014",RAW COAL,CEMENT,0.458
India,West Bengal,"Financial Year (Apr - Mar), 2016",RAW COAL,PULP & PAPER,0.073
India,West Bengal,"Financial Year (Apr - Mar), 2017",RAW COAL,SPONGE IRON,0.469
India,Jharkhand,"Financial Year (Apr - Mar), 2018",WASHED COAL,POWER (UTILITY),0.746
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2014",RAW COAL,POWER (UTILITY),31.727
India,Odisha,"Financial Year (Apr - Mar), 2016",RAW COAL,CEMENT,0.253
India,West Bengal,"Financial Year (Apr - Mar), 2013",RAW COAL,STEEL (BOILERS),0.412
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2011",RAW COAL,METALLURGICAL USE- COKERIES,0.131
India,Tamil Nadu,"Financial Year (Apr - Mar), 2018",RAW COAL,CEMENT,0.072
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2018",RAW COAL,SPONGE IRON,0.058
India,Telangana,"Financial Year (Apr - Mar), 2012",RAW COAL,SPONGE IRON,0.305718577
India,Rajasthan,"Financial Year (Apr - Mar), 2011",LIGNITE,CEMENT,0.011
India,Kerala,"Financial Year (Apr - Mar), 2013",RAW COAL,PULP & PAPER,0.088
India,Odisha,"Financial Year (Apr - Mar), 2015",RAW COAL,POWER (CAPTIVE),15.064
India,West Bengal,"Financial Year (Apr - Mar), 2013",RAW COAL,CHEMICAL,0.014
India,Meghalaya,"Financial Year (Apr - Mar), 2018",RAW COAL,CEMENT,0.055
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2020",RAW COAL,SPONGE IRON,0.234
India,Jharkhand,"Financial Year (Apr - Mar), 2017",WASHED COAL,METALLURGICAL USE- DIRECT FEED,0.275
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2016",MIDDLINGS,POWER (UTILITY),0.231
India,Rajasthan,"Financial Year (Apr - Mar), 2014",RAW COAL,POWER (CAPTIVE),2.717
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2019",RAW COAL,METALLURGICAL USE- COKERIES,0.041
India,Odisha,"Financial Year (Apr - Mar), 2012",RAW COAL,OTHER,19.901
India,Tamil Nadu,"Financial Year (Apr - Mar), 2016",LIGNITE,PULP & PAPER,0.043
India,Jharkhand,"Financial Year (Apr - Mar), 2013",RAW COAL,OTHER,6.996
India,Odisha,"Financial Year (Apr - Mar), 2015",RAW COAL,CEMENT,0.461
India,Karnataka,"Financial Year (Apr - Mar), 2015",RAW COAL,OTHER,1.719
India,Jharkhand,"Financial Year (Apr - Mar), 2020",RAW COAL,COKERIES,0.513
India,Maharashtra,"Financial Year (Apr - Mar), 2012",RAW COAL,CHEMICAL,0.029
India,Tamil Nadu,"Financial Year (Apr - Mar), 2017",LIGNITE,OTHER,0.039
India,Karnataka,"Financial Year (Apr - Mar), 2012",RAW COAL,METALLURGICAL USE- DIRECT FEED,0.002
India,Jharkhand,"Financial Year (Apr - Mar), 2014",WASHED COAL,METALLURGICAL USE- COKERIES,4.117
India,Jharkhand,"Financial Year (Apr - Mar), 2013",RAW COAL,POWER (UTILITY),13.219
India,Tamil Nadu,"Financial Year (Apr - Mar), 2017",RAW COAL,PULP & PAPER,0.016
India,Odisha,"Financial Year (Apr - Mar), 2014",RAW COAL,STEEL (BOILERS),0.09
India,West Bengal,"Financial Year (Apr - Mar), 2020",RAW COAL,POWER (CAPTIVE),49.044
India,Karnataka,"Financial Year (Apr - Mar), 2018",RAW COAL,POWER (UTILITY),11.855
India,Karnataka,"Financial Year (Apr - Mar), 2015",RAW COAL,PULP & PAPER,0.206
India,Maharashtra,"Financial Year (Apr - Mar), 2018",WASHED COAL,POWER (UTILITY),0.083
India,Karnataka,"Financial Year (Apr - Mar), 2012",RAW COAL,BRICKS,0.002
India,Jharkhand,"Financial Year (Apr - Mar), 2015",RAW COAL,METALLURGICAL USE- COKERIES,0.75
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2012",RAW COAL,COLLIERY OWN - CONSUMPTION,0.011
India,Jharkhand,"Financial Year (Apr - Mar), 2014",RAW COAL,METALLURGICAL USE- COKERIES,0.782
India,Karnataka,"Financial Year (Apr - Mar), 2020",RAW COAL,POWER (CAPTIVE),12.224
India,Odisha,"Financial Year (Apr - Mar), 2011",WASHED COAL,METALLURGICAL USE- COKERIES,0.496
India,Punjab,"Financial Year (Apr - Mar), 2017",RAW COAL,POWER (CAPTIVE),0.21
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2013",RAW COAL,SPONGE IRON,0.167
India,Karnataka,"Financial Year (Apr - Mar), 2014",RAW COAL,POWER (UTILITY),8.089
India,Uttarakhand,"Financial Year (Apr - Mar), 2014",RAW COAL,POWER (CAPTIVE),0.362
India,Maharashtra,"Financial Year (Apr - Mar), 2015",RAW COAL,PULP & PAPER,0.275
India,Jharkhand,"Financial Year (Apr - Mar), 2012",WASHED COAL,POWER (CAPTIVE),1.134
India,West Bengal,"Financial Year (Apr - Mar), 2011",RAW COAL,METALLURGICAL USE- COKERIES,0.024
India,Odisha,"Financial Year (Apr - Mar), 2012",RAW COAL,METALLURGICAL USE- DIRECT FEED,0.111
India,Rajasthan,"Financial Year (Apr - Mar), 2015",RAW COAL,POWER (CAPTIVE),1.235
India,Ladakh,"Financial Year (Apr - Mar), 2016",RAW COAL,TEXTILES & RAYONS,0
India,Punjab,"Financial Year (Apr - Mar), 2013",RAW COAL,OTHER,0.267
India,Odisha,"Financial Year (Apr - Mar), 2018",WASHED COAL,POWER (UTILITY),0.004
India,Maharashtra,"Financial Year (Apr - Mar), 2017",RAW COAL,COLLIERY OWN - CONSUMPTION,0.004
India,Rajasthan,"Financial Year (Apr - Mar), 2018",LIGNITE,TEXTILES & RAYONS,0.005
India,Telangana,"Financial Year (Apr - Mar), 2013",RAW COAL,POWER (UTILITY),18.88463939
India,Odisha,"Financial Year (Apr - Mar), 2013",RAW COAL,PULP & PAPER,0.154
India,Punjab,"Financial Year (Apr - Mar), 2018",RAW COAL,FERTILISERS,0.522
India,Karnataka,"Financial Year (Apr - Mar), 2014",RAW COAL,CEMENT,1.706
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2019",MIDDLINGS,POWER (UTILITY),0.241
India,Tamil Nadu,"Financial Year (Apr - Mar), 2020",LIGNITE,POWER (CAPTIVE),22.897
India,West Bengal,"Financial Year (Apr - Mar), 2019",RAW COAL,POWER (CAPTIVE),0.446
India,Telangana,"Financial Year (Apr - Mar), 2013",RAW COAL,BRICKS,0.002369911
India,Karnataka,"Financial Year (Apr - Mar), 2013",RAW COAL,PULP & PAPER,0.243
India,Odisha,"Financial Year (Apr - Mar), 2019",MIDDLINGS,STEEL (BOILERS),0.03
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2011",RAW COAL,FERTILISERS,0.317
India,Karnataka,"Financial Year (Apr - Mar), 2012",RAW COAL,PULP & PAPER,0.248
India,Telangana,"Financial Year (Apr - Mar), 2019",RAW COAL,SPONGE IRON,0.192
India,Meghalaya,"Financial Year (Apr - Mar), 2019",RAW COAL,POWER (CAPTIVE),0.022
India,Maharashtra,"Financial Year (Apr - Mar), 2020",RAW COAL,CHEMICAL,0.004
India,Rajasthan,"Financial Year (Apr - Mar), 2019",RAW COAL,SPONGE IRON,0.004
India,Odisha,"Financial Year (Apr - Mar), 2012",MIDDLINGS,STEEL (BOILERS),0.007
India,Maharashtra,"Financial Year (Apr - Mar), 2020",RAW COAL,COLLIERY OWN - CONSUMPTION,0.003
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2017",RAW COAL,TEXTILES & RAYONS,0.017
India,Maharashtra,"Financial Year (Apr - Mar), 2015",RAW COAL,TEXTILES & RAYONS,0.126
India,Uttarakhand,"Financial Year (Apr - Mar), 2013",RAW COAL,OTHER,0.293
India,Jharkhand,"Financial Year (Apr - Mar), 2013",RAW COAL,COLLIERY OWN - CONSUMPTION,0.013
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2012",WASHED COAL,CEMENT,0.281
India,Rajasthan,"Financial Year (Apr - Mar), 2018",LIGNITE,POWER (UTILITY),1.584
India,Odisha,"Financial Year (Apr - Mar), 2017",RAW COAL,POWER (UTILITY),35.989
